Name,Core Voltage,LEs,Total I/Os,GPIOs,Memory Bits,Embedded multiplier 9-bit elements,PLLs,Global Clocks,Maximum User Flash Memory Bits,ADCs,TSDs
10M02DCU324A6G,1.2V,2304,160,160,110592,32,2,10,655360,0,0
10M02DCU324A7G,1.2V,2304,160,160,110592,32,2,10,655360,0,0
10M02DCU324C8G,1.2V,2304,160,160,110592,32,2,10,655360,0,0
10M02DCU324I7G,1.2V,2304,160,160,110592,32,2,10,655360,0,0
10M02DCV36C7G,1.2V,2304,27,27,110592,32,1,10,655360,0,0
10M02DCV36C8G,1.2V,2304,27,27,110592,32,1,10,655360,0,0
10M02DCV36I7G,1.2V,2304,27,27,110592,32,1,10,655360,0,0
10M02SCE144A7G,3.3V,2304,101,101,110592,32,1,10,655360,0,0
10M02SCE144C8G,3.3V,2304,101,101,110592,32,1,10,655360,0,0
10M02SCE144I7G,3.3V,2304,101,101,110592,32,1,10,655360,0,0
10M02SCM153C8G,3.3V,2304,112,112,110592,32,1,10,655360,0,0
10M02SCM153I7G,3.3V,2304,112,112,110592,32,1,10,655360,0,0
10M02SCU169A7G,3.3V,2304,130,130,110592,32,1,10,655360,0,0
10M02SCU169C8G,3.3V,2304,130,130,110592,32,1,10,655360,0,0
10M02SCU169I7G,3.3V,2304,130,130,110592,32,1,10,655360,0,0
10M02SCU324C8G,3.3V,2304,246,246,110592,32,1,10,131072,0,0
10M04DAF256A7G,1.2V,4032,178,178,193536,40,2,10,2424832,1,1
10M04DAF256C7G,1.2V,4032,178,178,193536,40,2,10,2424832,1,1
10M04DAF256C8G,1.2V,4032,178,178,193536,40,2,10,2424832,1,1
10M04DAF256I7G,1.2V,4032,178,178,193536,40,2,10,2424832,1,1
10M04DAU324C8G,1.2V,4032,246,246,193536,40,2,10,2424832,1,1
10M04DAU324I7G,1.2V,4032,246,246,193536,40,2,10,2424832,1,1
10M04DCF256A7G,1.2V,4032,178,178,193536,40,2,10,131072,0,0
10M04DCF256C8G,1.2V,4032,178,178,193536,40,2,10,131072,0,0
10M04DCF256I7G,1.2V,4032,178,178,193536,40,2,10,131072,0,0
10M04DCU324A7G,1.2V,4032,246,246,193536,40,2,10,131072,0,0
10M04DCU324C8G,1.2V,4032,246,246,193536,40,2,10,131072,0,0
10M04DCU324I7G,1.2V,4032,246,246,193536,40,2,10,131072,0,0
10M04DCU324I7P,1.2V,4032,246,246,193536,40,2,10,131072,0,0
10M04SAE144A7G,3.3V,4032,101,101,193536,40,1,10,2424832,1,1
10M04SAE144C8G,3.3V,4032,101,101,193536,40,1,10,2424832,1,1
10M04SAE144I7G,3.3V,4032,101,101,193536,40,1,10,2424832,1,1
10M04SAM153C8G,3.3V,4032,112,112,193536,40,1,10,2424832,1,1
10M04SAM153I7G,3.3V,4032,112,112,193536,40,1,10,2424832,1,1
10M04SAU169A7G,3.3V,4032,130,130,193536,40,1,10,2424832,1,1
10M04SAU169C8G,3.3V,4032,130,130,193536,40,1,10,2424832,1,1
10M04SAU169I7G,3.3V,4032,130,130,193536,40,1,10,2424832,1,1
10M04SAU324I7G,3.3V,4032,246,246,193536,40,1,10,2424832,1,1
10M04SCE144A7G,3.3V,4032,101,101,193536,40,1,10,131072,0,0
10M04SCE144C8G,3.3V,4032,101,101,193536,40,1,10,131072,0,0
10M04SCE144I7G,3.3V,4032,101,101,193536,40,1,10,131072,0,0
10M04SCM153C8G,3.3V,4032,112,112,193536,40,1,10,131072,0,0
10M04SCM153I7G,3.3V,4032,112,112,193536,40,1,10,131072,0,0
10M04SCU169A7G,3.3V,4032,130,130,193536,40,1,10,131072,0,0
10M04SCU169C8G,3.3V,4032,130,130,193536,40,1,10,131072,0,0
10M04SCU169I7G,3.3V,4032,130,130,193536,40,1,10,131072,0,0
10M04SCU324C8G,3.3V,4032,246,246,193536,40,1,10,131072,0,0
10M08DAF256A7G,1.2V,8064,178,178,387072,48,2,10,2555904,1,1
10M08DAF256C7G,1.2V,8064,178,178,387072,48,2,10,2555904,1,1
10M08DAF256C8G,1.2V,8064,178,178,387072,48,2,10,2555904,1,1
10M08DAF256C8GES,1.2V,8064,178,178,387072,48,2,10,2555904,1,1
10M08DAF256I7G,1.2V,8064,178,178,387072,48,2,10,2555904,1,1
10M08DAF484C8G,1.2V,8064,250,250,387072,48,2,10,2555904,1,1
10M08DAF484C8GES,1.2V,8064,250,250,387072,48,2,10,2555904,1,1
10M08DAF484I7G,1.2V,8064,250,250,387072,48,2,10,2555904,1,1
10M08DAF484I7P,1.2V,8064,250,250,387072,48,2,10,2555904,1,1
10M08DAU324C8G,1.2V,8064,246,246,387072,48,2,10,2555904,1,1
10M08DAU324C8GES,1.2V,8064,246,246,387072,48,2,10,2555904,1,1
10M08DAU324I7G,1.2V,8064,246,246,387072,48,2,10,2555904,1,1
10M08DCF256A7G,1.2V,8064,178,178,387072,48,2,10,262144,0,0
10M08DCF256C8G,1.2V,8064,178,178,387072,48,2,10,262144,0,0
10M08DCF256I7G,1.2V,8064,178,178,387072,48,2,10,262144,0,0
10M08DCF484C8G,1.2V,8064,250,250,387072,48,2,10,262144,0,0
10M08DCF484I7G,1.2V,8064,250,250,387072,48,2,10,262144,0,0
10M08DCU324A7G,1.2V,8064,246,246,387072,48,2,10,262144,0,0
10M08DCU324C8G,1.2V,8064,246,246,387072,48,2,10,262144,0,0
10M08DCU324I7G,1.2V,8064,246,246,387072,48,2,10,262144,0,0
10M08DCV81C7G,1.2V,8064,56,56,387072,48,1,10,262144,0,0
10M08DCV81C8G,1.2V,8064,56,56,387072,48,1,10,262144,0,0
10M08DCV81I7G,1.2V,8064,56,56,387072,48,1,10,262144,0,0
10M08DFV81C7G,1.2V,8064,56,56,387072,48,1,10,2555904,0,0
10M08DFV81C8G,1.2V,8064,56,56,387072,48,1,10,2555904,0,0
10M08DFV81C8GES,1.2V,8064,56,56,387072,48,1,10,2555904,0,0
10M08DFV81I7G,1.2V,8064,56,56,387072,48,1,10,2555904,0,0
10M08SAE144A7G,3.3V,8064,101,101,387072,48,1,10,2555904,1,1
10M08SAE144C8G,3.3V,8064,101,101,387072,48,1,10,2555904,1,1
10M08SAE144C8GES,3.3V,8064,101,101,387072,48,1,10,2555904,1,1
